Designator,Mid X,Mid Y,Rotation,Layer
BT1,203.375,-41.25,180.0,bottom
C1,198.9,-37.25,270.0,top
C10,225.9,-58.75,180.0,top
C11,243.842499,-66.88,0.0,top
C12,228.5,-64.387499,270.0,top
C13,230.25,-64.25,270.0,top
C14,233.5,-64.25,270.0,bottom
C15,233.25,-64.25,270.0,top
C16,229.5,-64.137499,270.0,bottom
C17,232.0,-64.25,270.0,bottom
C18,231.75,-64.25,270.0,top
C19,228.0,-64.137499,270.0,bottom
C2,238.5,-54.5,0.0,top
C20,212.0,-48.5,270.0,top
C21,211.904999,-58.15,90.0,top
C22,212.0,-43.25,270.0,top
C23,208.7675,-54.4,0.0,top
C24,212.745,-36.925,270.0,top
C25,219.25,-36.862501,270.0,top
C26,244.775,-48.862501,0.0,top
C27,228.849999,-53.887499,90.0,top
C28,228.1,-49.524998,180.0,top
C29,228.1,-46.024998,180.0,top
C3,224.25,-54.5,180.0,top
C30,230.6,-43.387499,90.0,top
C4,238.5,-53.0,0.0,top
C5,224.25,-53.0,180.0,top
C6,236.25,-58.5,90.0,top
C7,240.45,-58.5,270.0,top
C8,198.9,-42.75,270.0,top
C9,225.9,-60.25,180.0,top
D1,188.25,-47.425,90.0,top
D2,210.25,-37.999999,270.0,top
FB1,238.5,-56.0,180.0,top
FB2,224.25,-56.0,0.0,top
FB3,235.0,-54.5,180.0,top
FB4,227.0,-54.0,90.0,top
J1,233.0,-75.5,0.0,top
J2,187.75,-56.0,270.0,top
J3,220.005,-31.5,270.0,top
J4,244.0,-34.0,270.0,top
J5,230.54,-34.0,0.0,top
J6,188.1875,-74.325,270.0,top
J7,196.1875,-74.325,270.0,top
J8,204.1875,-74.325,270.0,top
J9,212.1875,-74.325,270.0,top
L1,225.75,-62.887499,270.0,top
L2,230.599999,-53.887499,90.0,top
L3,232.349999,-43.387499,90.0,top
L4,230.599999,-50.387499,90.0,top
L5,230.6,-46.887499,90.0,top
Q1,206.75,-39.25,90.0,top
Q2,217.25,-58.5,0.0,top
R1,190.25,-47.425,90.0,top
R2,197.15,-39.1625,270.0,top
R3,200.65,-41.0,90.0,top
R4,197.25,-44.7,270.0,top
R5,199.654999,-58.65,270.0,top
R6,199.654999,-53.7375,90.0,top
R7,208.0,-49.75,0.0,top
R8,213.5,-40.0,0.0,top
R9,220.25,-58.5,90.0,top
SC1,220.2,-78.075,270.0,top
U1,231.5,-59.0,270.0,top
U2,243.0,-70.0,0.0,top
U3,208.0,-45.0,0.0,top
U5,204.0,-57.0,90.0,top
U6,216.25,-37.0,180.0,top
U7,245.0,-44.75,0.0,top
Y1,238.35,-58.5,270.0,top
